Part		Description	Price:	1	10	100	250	1000
MF-MICROSD	MF-MICROSD - Micro SD Card Slot PUSH PUSH Type Right Angle	Micro SD Card Slot PUSH PUSH Type Right Angle		$1.500	$1.000	$.700	$.520	$.400
MF-CON-2.54mm-01x40	MF-CON-2.54mm-01x40 - Pin Header 2.54mm 1x40 Unshrouded 40 Pins, 1 Row of 40, 01x40	Pin Header 2.54mm 1x40 Unshrouded 40 Pins, 1 Row of 40, 01x40		$3.388	$2.75	$1.72	$1.47	$0.96
MF-CON-2.54mm-01x21	MF-CON-2.54mm-01x21 - Pin Header 2.54mm 1x21 Unshrouded 21 Pins, 1 Row of 21, 01x21	Pin Header 2.54mm 1x21 Unshrouded 21 Pins, 1 Row of 21, 01x21		$1.892	$1.535	$0.958	$0.818	$0.532
MF-CON-2.54mm-01x14	MF-CON-2.54mm-01x14 - Pin Header 2.54mm 1x14 Unshrouded 14 Pins, 1 Row of 14, 01x14	Pin Header 2.54mm 1x14 Unshrouded 14 Pins, 1 Row of 14, 01x14		$1.369	$1.11	$0.692	$0.591	$0.384
MF-CON-2.54mm-01x04	MF-CON-2.54mm-01x04 - Pin Header 2.54mm 1x4 Unshrouded 4 Pins, 1 Row of 4, 01x04	Pin Header 2.54mm 1x4 Unshrouded 4 Pins, 1 Row of 4, 01x04		$0.622	$0.503	$0.313	$0.266	$0.172
MF-CON-2.54mm-01x07	MF-CON-2.54mm-01x07 - Pin Header 2.54mm 1x7 Unshrouded 7 Pins, 1 Row of 7, 01x07	Pin Header 2.54mm 1x7 Unshrouded 7 Pins, 1 Row of 7, 01x07		$0.846	$0.685	$0.426	$0.363	$0.235
MF-LED-3228-RGB	MF-LED-3228-RGB - Tri-Color RGB LED 3228 SMD PLCC-4	Tri-Color RGB LED 3228 SMD PLCC-4		$0.23	$0.21	$0.20	$0.19	$0.185
MF-DIO-SOD123-BAT42	MF-DIO-SOD123-BAT42 - BAT42 Series 30 V 200 mA Small Signal Schottky Diode SOD-123	BAT42 Series 30 V 200 mA Small Signal Schottky Diode SOD-123		$0.11	$0.09	$0.079	$0.077	$0.059
MF-RES-0603-604K	MF-RES-0603-604K - Resistor Thick Film 0603 604K Ohm 1% 100mW 75V	Resistor Thick Film 0603 604K Ohm 1% 100mW 75V		$0.050	$0.010	$0.007	$0.005	$0.003
MF-DSC-SOT233-MMBT3904	MF-DSC-SOT233-MMBT3904 - BJT Transistor SOT-23-3 NPN General Purpose	BJT Transistor SOT-23-3 NPN General Purpose		$0.080	$0.070	$0.030	$0.028	$0.021
MF-RES-0805-50	MF-RES-0805-50 - Resistor Thick Film 0805 50 Ohm 1% 125mW 150V	Resistor Thick Film 0805 50 Ohm 1% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.004
MF-RES-0603-27	MF-RES-0603-27 - Resistor Thick Film 0603 27 Ohm 1% 100mW 75V	Resistor Thick Film 0603 27 Ohm 1% 100mW 75V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0603-255K	MF-RES-0603-255K - Resistor Thick Film 0603 255K Ohm 1% 100mW 75V	Resistor Thick Film 0603 255K Ohm 1% 100mW 75V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-CAP-1206-10uF	MF-CAP-1206-10uF - Capacitor MLCC 1206 10uF 10% 16V	Capacitor MLCC 1206 10uF 10% 16V		$0.14	$0.080	$0.070	$0.060	$0.056
MF-REG-SOT235-3.3V-300mA	MF-REG-SOT235-3.3V-300mA - 3.3v, 300mA Voltage Regulator Low Drop-Out, Low Quiescent Noise SOT-23-5	3.3v, 300mA Voltage Regulator Low Drop-Out, Low Quiescent Noise SOT-23-5		$0.600	$0.500	$0.276	$0.276	$0.250
MF-RES-0805-75	MF-RES-0805-75 - Resistor Thick Film 0805 75 Ohm 5% 125mW 150V	Resistor Thick Film 0805 75 Ohm 5% 125mW 150V		$0.050	$0.010	$0.006	$0.004	$0.003
MF-RES-0402-60.4	MF-RES-0402-60.4 - Resistor Thick Film 0402 60.4 Ohm 5% 100mW 50V	Resistor Thick Film 0402 60.4 Ohm 5% 100mW 50V		$0.050	$0.012	$0.007	$0.005	$0.004
